orbit_id,e,a,i,om,w,ma,n,tp,moid,moid_jup,class,producer,data_arc,n_obs_used,rms,diameter,albedo,diameter_sigma,first_year_obs,first_month_obs,last_obs_year,last_obs_month
JPL 33,0.1634700986177044,2.184963241988374,4.519406804080892,304.3457537025832,330.0943181205635,91.25270723291187,0.3051672128144979,2458301.474733192,0.812575,2.57361,MBA,Otto Matic,31223.0,2279,0.46516,6.456,0.321,0.10300000000000001,1934,6,2019,11
JPL 24,0.1541932801698275,2.2405029212737806,2.5471361730075484,172.61318243196754,198.9154050929557,71.96555173736094,0.2938906721524483,2458355.628152893,0.894233,2.87374,MBA,Otto Matic,31127.0,2584,0.4526,7.484,0.218,0.13,1934,9,2019,11
JPL 32,0.1127359797546147,2.2634504838919,4.817177424648347,325.54167292822535,110.9705668118953,276.1708941807879,0.2894326871356097,2458890.1324760304,1.02944,2.6834599999999997,MBA,Otto Matic,31040.0,2477,0.40402,7.47,0.251,0.114,1934,12,2019,11
JPL 28,0.1198327361981098,2.2475238934525907,5.658553973614308,60.05399556213461,133.6637364464987,346.19446042541426,0.2925146338696536,2458647.6960646617,0.9817459999999999,2.4449799999999997,MBA,Otto Matic,31248.0,2683,0.38366,5.844,0.392,0.11800000000000001,1933,10,2019,5
JPL 31,0.04485956897377369,1.8533961487513428,22.82617849877049,225.25002929815983,340.1085183252516,120.4919421130772,0.390617494038614,2458292.034700949,0.7657970000000001,3.0498,IMB,Otto Matic,30896.0,2049,0.40706,4.276,0.5820000000000001,0.17,1935,4,2019,11
JPL 28,0.1311163412646854,2.3437994888889206,22.48702515189509,270.8148279692342,348.07997232102514,237.45013356911733,0.2746776929668174,2459046.65878744,1.0230700000000001,2.4637700000000002,MBA,Otto Matic,30984.0,1948,0.38071,9.365,0.282,0.228,1934,7,2019,5
JPL 33,0.2150874077008338,2.228216692670791,3.550650568643485,163.4467940023129,156.14174946284768,93.83841203312494,0.2963247582519983,2458283.825778829,0.735943,2.60564,MBA,Otto Matic,30711.0,2694,0.45452,7.053,0.267,0.11900000000000001,1935,10,2019,11
JPL 33,0.09312290540008324,2.259912288482461,6.025323664946329,223.2110453245467,356.5767310877498,110.86716269661171,0.290112671576895,2458218.347913729,1.04142,2.50386,MBA,Otto Matic,30602.0,2502,0.4329,6.217,0.263,0.153,1936,2,2019,11
JPL 27,0.2089782734050628,2.2580375285211582,5.538321090225271,203.02909240195012,125.87895752128428,244.5487549787999,0.2904740503126902,2458997.9580341927,0.781428,2.6440799999999998,MBA,Otto Matic,30573.0,2091,0.43888,7.46,0.138,0.115,1935,8,2019,5
JPL 34,0.1655212627830513,2.215941322505716,6.507184058504957,161.6024120716449,224.10592642019054,341.4198588543976,0.29879043432564,2458662.684524707,0.8578819999999999,2.87512,MBA,Otto Matic,30397.0,2091,0.47302,4.852,0.22699999999999998,0.031,1936,8,2019,11
